episode,n_tasks,n_realizations,tasks_rescued_pct,hazard_count
0,2,1000,31.5500,1
1,2,1000,58.3500,1
2,2,1000,81.5000,1
3,2,1000,99.0000,1
4,2,1000,99.8000,1
5,2,1000,57.5500,1
6,2,1000,98.9500,1
7,2,1000,0.4000,1
8,2,1000,64.7000,1
9,2,1000,39.4000,1
10,2,1000,77.8000,1
11,2,1000,50.0000,1
12,2,1000,58.0500,1
13,2,1000,2.5500,1
14,2,1000,43.4000,1
15,2,1000,69.5000,1
16,2,1000,60.0500,1
17,2,1000,3.3000,1
18,2,1000,27.4000,1
19,2,1000,50.4000,1
0,2,1000,34.5500,2
1,2,1000,57.7000,2
2,2,1000,77.1500,2
3,2,1000,60.0500,2
4,2,1000,0.1500,2
5,2,1000,49.7500,2
6,2,1000,98.8500,2
7,2,1000,0.0000,2
8,2,1000,68.2000,2
9,2,1000,0.8500,2
10,2,1000,29.9000,2
11,2,1000,50.0000,2
12,2,1000,74.8500,2
13,2,1000,3.8500,2
14,2,1000,14.8000,2
15,2,1000,50.7500,2
16,2,1000,5.5000,2
17,2,1000,1.6000,2
18,2,1000,18.9500,2
19,2,1000,50.0500,2
0,2,1000,48.5000,3
1,2,1000,58.9000,3
2,2,1000,43.6000,3
3,2,1000,57.9500,3
4,2,1000,0.0500,3
5,2,1000,51.0000,3
6,2,1000,59.1000,3
7,2,1000,0.0000,3
8,2,1000,64.5500,3
9,2,1000,0.5500,3
10,2,1000,30.4000,3
11,2,1000,12.6500,3
12,2,1000,54.9000,3
13,2,1000,3.8500,3
14,2,1000,11.1500,3
15,2,1000,49.4000,3
16,2,1000,4.8500,3
17,2,1000,0.1000,3
18,2,1000,18.8500,3
19,2,1000,50.0500,3
0,2,1000,14.9500,4
1,2,1000,59.3500,4
2,2,1000,34.2500,4
3,2,1000,59.1000,4
4,2,1000,0.0000,4
5,2,1000,51.0000,4
6,2,1000,50.8500,4
7,2,1000,0.0000,4
8,2,1000,49.4500,4
9,2,1000,0.4000,4
10,2,1000,4.6000,4
11,2,1000,1.6500,4
12,2,1000,62.1000,4
13,2,1000,4.6000,4
14,2,1000,0.0000,4
15,2,1000,49.8500,4
16,2,1000,4.4000,4
17,2,1000,0.0000,4
18,2,1000,15.1500,4
19,2,1000,50.4000,4
0,2,1000,14.3000,5
1,2,1000,59.3500,5
2,2,1000,34.2500,5
3,2,1000,59.0000,5
4,2,1000,0.0000,5
5,2,1000,50.4000,5
6,2,1000,50.8500,5
7,2,1000,0.0000,5
8,2,1000,49.5000,5
9,2,1000,0.6000,5
10,2,1000,4.6500,5
11,2,1000,1.6500,5
12,2,1000,65.4000,5
13,2,1000,0.8000,5
14,2,1000,0.0000,5
15,2,1000,46.4500,5
16,2,1000,4.5500,5
17,2,1000,0.0000,5
18,2,1000,1.9500,5
19,2,1000,50.4000,5
