episode,n_tasks,n_realizations,tasks_rescued_pct,spread_rate
0,2,1000,31.5500,0.0200
1,2,1000,58.3500,0.0200
2,2,1000,81.5000,0.0200
3,2,1000,99.0000,0.0200
4,2,1000,99.8000,0.0200
5,2,1000,57.5500,0.0200
6,2,1000,98.9500,0.0200
7,2,1000,0.4000,0.0200
8,2,1000,64.7000,0.0200
9,2,1000,39.4000,0.0200
10,2,1000,77.8000,0.0200
11,2,1000,50.0000,0.0200
12,2,1000,58.0500,0.0200
13,2,1000,2.5500,0.0200
14,2,1000,43.4000,0.0200
15,2,1000,69.5000,0.0200
16,2,1000,60.0500,0.0200
17,2,1000,3.3000,0.0200
18,2,1000,27.4000,0.0200
19,2,1000,50.4000,0.0200
0,2,1000,2.5500,0.0400
1,2,1000,50.1000,0.0400
2,2,1000,37.2500,0.0400
3,2,1000,86.2500,0.0400
4,2,1000,99.5500,0.0400
5,2,1000,61.4000,0.0400
6,2,1000,98.1000,0.0400
7,2,1000,0.0000,0.0400
8,2,1000,35.7000,0.0400
9,2,1000,41.7000,0.0400
10,2,1000,50.6500,0.0400
11,2,1000,50.0000,0.0400
12,2,1000,19.9000,0.0400
13,2,1000,6.2000,0.0400
14,2,1000,35.5500,0.0400
15,2,1000,65.9500,0.0400
16,2,1000,51.1000,0.0400
17,2,1000,4.7500,0.0400
18,2,1000,23.3500,0.0400
19,2,1000,50.1000,0.0400
0,2,1000,0.0500,0.0600
1,2,1000,50.0000,0.0600
2,2,1000,8.2500,0.0600
3,2,1000,53.4000,0.0600
4,2,1000,88.6500,0.0600
5,2,1000,62.9500,0.0600
6,2,1000,95.6000,0.0600
7,2,1000,0.0000,0.0600
8,2,1000,18.3000,0.0600
9,2,1000,32.3000,0.0600
10,2,1000,19.8000,0.0600
11,2,1000,50.0000,0.0600
12,2,1000,8.6000,0.0600
13,2,1000,14.8000,0.0600
14,2,1000,28.0000,0.0600
15,2,1000,59.1000,0.0600
16,2,1000,50.0000,0.0600
17,2,1000,3.4000,0.0600
18,2,1000,26.1500,0.0600
19,2,1000,50.0000,0.0600
0,2,1000,0.0000,0.0800
1,2,1000,50.0000,0.0800
2,2,1000,0.5500,0.0800
3,2,1000,50.0000,0.0800
4,2,1000,56.2500,0.0800
5,2,1000,59.5000,0.0800
6,2,1000,89.4000,0.0800
7,2,1000,0.0000,0.0800
8,2,1000,11.1000,0.0800
9,2,1000,24.5000,0.0800
10,2,1000,8.1500,0.0800
11,2,1000,50.0000,0.0800
12,2,1000,7.5500,0.0800
13,2,1000,25.7500,0.0800
14,2,1000,21.9500,0.0800
15,2,1000,51.6500,0.0800
16,2,1000,50.0000,0.0800
17,2,1000,0.6000,0.0800
18,2,1000,25.1500,0.0800
19,2,1000,50.0000,0.0800
0,2,1000,0.0000,0.1000
1,2,1000,50.0000,0.1000
2,2,1000,0.0000,0.1000
3,2,1000,50.0000,0.1000
4,2,1000,46.3000,0.1000
5,2,1000,56.0000,0.1000
6,2,1000,90.9000,0.1000
7,2,1000,0.0000,0.1000
8,2,1000,6.9500,0.1000
9,2,1000,22.2000,0.1000
10,2,1000,1.9000,0.1000
11,2,1000,50.0000,0.1000
12,2,1000,7.5500,0.1000
13,2,1000,34.9500,0.1000
14,2,1000,14.7500,0.1000
15,2,1000,50.0000,0.1000
16,2,1000,50.0000,0.1000
17,2,1000,0.0000,0.1000
18,2,1000,13.1000,0.1000
19,2,1000,50.0000,0.1000
